title,url,inserted_at,wikidata_id,description
Damerau–Levenshtein distance,https://en.wikipedia.org/wiki/Damerau%E2%80%93Levenshtein_distance,2018-02-03 21:25:52,Q2657425,
Latinx,https://en.wikipedia.org/wiki/Latinx,2020-05-07 14:13:26,Q30324002,U.S. gender-neutral term for people of Latin American heritage
Max Müller,https://en.wikipedia.org/wiki/Max_M%C3%BCller,2018-08-24 21:18:57,Q55068911,German-born philologist and orientalist
P versus NP problem,https://en.wikipedia.org/wiki/P_versus_NP_problem,2018-03-04 06:15:09,Q746242,Unsolved problem in computer science
Sacred geometry,https://en.wikipedia.org/wiki/Sacred_geometry,2018-09-21 07:03:28,Q583915,Symbolic and sacred meanings ascibed to certain geometric shapes
The Third Wave (experiment),https://en.wikipedia.org/wiki/The_Third_Wave_(experiment),2018-07-13 02:56:52,Q1059204,
Nicene Creed,https://en.wikipedia.org/wiki/Nicene_Creed,2018-12-11 16:34:53,Q207937,Statement of belief adopted at the First Ecumenical Council in 325
Enneagram of Personality,https://en.wikipedia.org/wiki/Enneagram_of_Personality,2018-11-26 05:28:40,Q273047,Of Oscar Ichazo and Claudio Naranjo
Kano model,https://en.wikipedia.org/wiki/Kano_model,2018-06-06 23:01:38,Q1068173,
Mean time between failures,https://en.wikipedia.org/wiki/Mean_time_between_failures,2017-05-11 01:08:42,Q754940,
Growth hacking,https://en.wikipedia.org/wiki/Growth_hacking,2018-05-01 22:51:04,Q15896029,
Scientific method,https://en.wikipedia.org/wiki/Scientific_method,2017-05-11 01:22:05,Q46857,"Interplay between observation, experiment and theory in science"
Theory of constraints,https://en.wikipedia.org/wiki/Theory_of_constraints,2017-04-26 04:50:21,Q956095,
Mental model,https://en.wikipedia.org/wiki/Mental_model,2017-04-24 08:41:27,Q1851867,Explanation of someone's thought process about how something works in the real world
Classical test theory,https://en.wikipedia.org/wiki/Classical_test_theory,2018-03-04 06:18:50,Q389391,
Absurdism,https://en.wikipedia.org/wiki/Absurdism,2017-04-17 05:48:23,Q333625,"Conflict between the human tendency to seek inherent value and meaning in life and the human inability to find any in a purposeless, meaningless or chaotic and irrational universe"
Populism,https://en.wikipedia.org/wiki/Populism,2018-01-29 08:27:09,Q180490,"Political philosophy that supports needs and desires of ""the people"" over those of ""the powerful."""
Anti,https://en.wikipedia.org/wiki/Anti,2017-12-01 08:21:31,Q346504,Disambiguation page providing links to topics that could be referred to by the same search term
Big Five personality traits,https://en.wikipedia.org/wiki/Big_Five_personality_traits,2017-02-24 00:09:08,Q378132,Personality model consisting of five broad dimensions of personality
2 + 2 = 5,https://en.wikipedia.org/wiki/2_%2B_2_%3D_5,2016-11-10 03:08:14,Q1097227,Example of Party logic presented in Nineteen Eighty-Four
Project Cybersyn,https://en.wikipedia.org/wiki/Project_Cybersyn,2016-11-02 23:36:58,Q1147211,Chilean economic project
Tab stop,https://en.wikipedia.org/wiki/Tab_stop,2016-10-31 08:42:01,Q3515540,
Hyman Minsky,https://en.wikipedia.org/wiki/Hyman_Minsky,2016-10-25 20:55:36,Q704076,
Conway's law,https://en.wikipedia.org/wiki/Conway%27s_law,2016-10-20 02:06:25,Q1518855,Adage stating that organizations design systems that mirror their own communication structure
Electronic data interchange,https://en.wikipedia.org/wiki/Electronic_data_interchange,2016-10-14 13:47:55,Q690189,
Fractional Reserve Banking,https://en.wikipedia.org/wiki/Fractional,2016-10-31 10:50:24,Q123642,
Allegory of the Cave,http://en.m.wikipedia.org/wiki/Allegory_of_the_Cave,2015-03-18 13:19:16,Q22738,
Law of thought,https://en.m.wikipedia.org/wiki/Law_of_thought#The_three_traditional_laws,2017-06-12 07:00:12,Q1187945,
List,https://en.wikipedia.org/wiki/List_,2015-08-04 22:57:45,Q162032,Disambiguation page providing links to topics that could be referred to by the same search term
Bus factor,https://en.wikipedia.org/wiki/Bus_factor,2016-05-04 03:58:59,Q1812883,A measurement of the risk of losing key technical experts
Volstead Act,https://en.wikipedia.org/wiki/Volstead_Act,2016-01-12 10:17:26,Q1613068,An act to prohibit intoxicating beverages in the USA
Reciprocity,https://en.wikipedia.org/wiki/Reciprocity_,2017-09-12 20:54:32,Q1350049,Disambiguation page providing links to topics that could be referred to by the same search term
Determinism,https://en.wikipedia.org/wiki/Determinism,2017-09-03 23:45:54,Q131133,The philosophical belief that all events are determined completely by previously existing causes
Social democracy,https://en.wikipedia.org/wiki/Social_democracy,2017-06-12 09:53:41,Q121254,political ideology within the socialist movement
Critical thinking,https://en.wikipedia.org/wiki/Critical_thinking,2017-06-07 02:41:24,Q843894,The analysis of facts to form a judgment
SOLID,https://en.wikipedia.org/wiki/SOLID,2016-12-21 05:26:49,Q2583627,Object-oriented programming design principles
Flynn effect,https://en.wikipedia.org/wiki/Flynn_effect,2016-11-28 08:49:59,Q508736,20th century rise in overall human intelligence
First,https://en.wikipedia.org/wiki/First,2016-11-08 11:03:17,Q351401,Disambiguation page providing links to topics that could be referred to by the same search term
Data mapping,https://en.wikipedia.org/wiki/Data_mapping,2016-10-14 14:03:30,Q2330408,
